code,name,credits,meta
OAS351,Space Science,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OIE351,Introduction to Industrial Engineering,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OBT351,Food Nutrition and Health,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OCE351,Environmental and Social Impact Assessment,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OEE351,Renewable Energy System,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OEI351,Introduction to Industrial Instrumentation and Control,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OMA351,Graph Theory,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8

OIE352,Resource Management Techniques,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OMG351,Fintech Regulation,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OFD351,Holistic Nutrition,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
AI3021,IT in Agricultural System,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OEI352,Introduction to Control Engineering,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OPY351,Pharmaceutical Nanotechnology,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OAE351,Aviation Management,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8

OCS351,Artificial Intelligence and Machine Learning Fundamentals,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OCS352,IoT Concepts and Applications,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OCS353,Data Science Fundamentals,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
CCS333,Augmented Reality and Virtual Reality,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8

OHS351,English for Competitive Examinations,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OMG352,NGOs and Sustainable Development,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OMG353,Democracy and Good Governance,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
CME365,Renewable Energy Technologies,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OME354,Applied Design Thinking,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
MF3003,Reverse Engineering,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OPR351,Sustainable Manufacturing,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
AU3791,Electric and Hybrid Vehicles,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OAS352,Space Engineering,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OIM351,Industrial Management,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OIE354,Quality Engineering,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
OSF351,Fire Safety Engineering,3,21$CS^IT^EC^EE^ME^CE^CB^AD^AM$6^7^8
