code,name,credits,meta

HS3152,Professional English - I,3,21$CB^CS^AM^IT^CE^ME^AD^EE^EC$1
MA3151,Matrices and Calculus,4,21$CB^CS^AM^IT^CE^ME^AD^EE^EC$1
PH3151,Engineering Physics,3,21$CB^CS^AM^IT^CE^ME^AD^EE^EC$1
CY3151,Engineering Chemistry,3,21$CB^CS^AM^IT^CE^ME^AD^EE^EC$1
GE3151,Problem Solving and Python Programming,3,21$CB^CS^AM^IT^CE^ME^AD^EE^EC$1
GE3152,Heritage of Tamils,1,21$CB^CS^AM^IT^CE^ME^AD^EE^EC$1
GE3171,Problem Solving and Python Programming Laboratory,2,21$CB^CS^AM^IT^CE^ME^AD^EE^EC$1
BS3171,Physics and Chemistry Laboratory,2,21$CB^CS^AM^IT^CE^ME^AD^EE^EC$1
GE3172,English Laboratory,1,21$CB^CS^AM^IT^CE^ME^AD^EE^EC$1

HS3252,Professional English - II,2,21$CB^CS^AM^IT^AD^EC^EE^ME^CE$2
MA3251,Statistics and Numerical Methods,4,21$CB^CS^AM^IT^AD^EC^EE^ME^CE$2
PH3256,Physics for Information Science,3,21$CB^CS^AM^IT^AD$2
PH3254,Physics for Electronics Engineering,3,21$EC$2
PH3202,Physics for Electrical Engineering,3,21$EE$2
PH3251,Materials Science,3,21$ME$2
PH3201,Physics for Civil Engineering,3,21$CE$2
BE3251,Basic Electrical and Electronics Engineering,3,21$CB^CS^AM^IT^AD^ME$2
BE3254,Electrical and Instrumentation Engineering,3,21$EC$2
BE3252,Basic Electrical Electronics and Instrumentation Engineering,3,21$CE$2
GE3251,Engineering Graphics,4,21$CB^CS^AM^IT^AD^EC^EE^ME^CE$2
AD3251,Data Structures Design,3,21$CB^AD$2
CS3251,Programming in C,3,21$CS^AM^IT$2
EC3251,Circuit Analysis,4,21$EC$2
EE3251,Electric Circuit Analysis,4,21$EE$2
GE3252,Tamils and Technology,1,21$CB^CS^AM^IT^AD^EC^EE^ME^CE$2
GE3271,Engineering Practices Laboratory,2,21$CB^CS^AM^IT^AD^EC^EE^ME^CE$2
AD3271,Data Structures Design Laboratory,2,21$CB^AD$2
CS3271,Programming in C Laboratory,2,21$CS^AM^IT$2
EC3271,Circuits Analysis Laboratory,1,21$EC$2
EE3271,Electric Circuits Laboratory,2,21$EE$2
BE3271,Basic Electrical and Electronics Engineering Laboratory,2,21$ME$2
BE3272,Basic Electrical Electronics and Instrumentation Engineering Laboratory,2,21$CE$2
GE3272,Communication Laboratory / Foreign Language,2,21$CB^CS^AM^IT^AD^EC^EE^ME^CE$2



MA3354,Discrete Mathematics,4,21$CS^AM^IT^AD^CB$3
MA3355,Random Processes and Linear Algebra,4,21$EC$3
MA3303,Probability and Complex Functions,4,21$EE$3
MA3351,Transforms and Partial Differential Equations,4,21$ME^CE$3
CS3351,Digital Principles and Computer Organization,4,21$CS^AM^IT^AD^CB$3
CS3352,Foundations of Data Science,3,21$CS^AM^IT$3
CS3301,Data Structures,3,21$CS$3
CD3291,Data Structures and Algorithms,3,21$AM^IT$3
CS3391,Object Oriented Programming,3,21$CS^AM^IT^CB$3
CS3311,Data Structures Laboratory,1.5,21$CS$3
CD3281,Data Structures and Algorithms Laboratory,2,21$AM^IT$3
CS3381,Object Oriented Programming Laboratory,1.5,21$CS^AM^IT^CB$3
CS3361,Data Science Laboratory,2,21$CS^AM^IT$3
CW3301,Fundamentals of Economics,3,21$CB$3
CW3311,Business Communication Laboratory I,1.5,21$CB$3
AD3491,Fundamentals of Data Science and Analytics,3,21$CB$3
AD3391,Database Design and Management,3,21$AD$3
AD3351,Design and Analysis of Algorithms,4,21$AD^CB$3
AD3301,Data Exploration and Visualization,4,21$AD$3
AL3391,Artificial Intelligence,3,21$AD$3
AD3381,Database Design and Management Laboratory,1.5,21$AD$3
AD3311,Artificial Intelligence Laboratory,1.5,21$AD$3
CS3353,C Programming and Data Structures,3,21$EC^EE$3
CS3362,C Programming and Data Structures Laboratory,1.5,21$EC^EE$3
EC3354,Signals and Systems,4,21$EC$3
EC3353,Electronic Devices and Circuits,3,21$EC$3
EC3351,Control Systems,3,21$EC$3
EC3352,Digital Systems Design,4,21$EC$3
EC3361,Electronic Devices and Circuits Laboratory,1.5,21$EC$3
EE3301,Electromagnetic Fields,4,21$EE$3
EE3302,Digital Logic Circuits,3,21$EE$3
EE3303,Electrical Machines - I,3,21$EE$3
EE3311,Electrical Machines Laboratory - I,1.5,21$EE$3
EC3301,Electron Devices and Circuits,3,21$EE$3
EC3311,Electronic Devices and Circuits Laboratory,1.5,21$EE$3
ME3351,Engineering Mechanics,3,21$ME^CE$3
ME3391,Engineering Thermodynamics,3,21$ME$3
ME3392,Engineering Materials and Metallurgy,3,21$ME$3
ME3393,Manufacturing Processes,3,21$ME$3
ME3381,Computer Aided Machine Drawing,2,21$ME$3
ME3382,Manufacturing Technology Laboratory,2,21$ME$3
CE3391,Fluid Mechanics and Machinery,4,21$ME$3
CE3301,Fluid Mechanics,3,21$CE$3
CE3302,Construction Materials and Technology,3,21$CE$3
CE3303,Water Supply and Wastewater Engineering,4,21$CE$3
CE3351,Surveying and Levelling,3,21$CE$3
